date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404021302,FWS.MRX.20140402.BIGRI.01.20140402.130251.3524871947,4,294,24,22.7777777778,27,3.57632,-7.0,24.4444444444,34.0,2.6802555324,22.5251098633,37.5787580855,3.57875808545,4.4282,10.5787580855,24.9990783691,33.3627182763,3.80738,-6.36271827627,37.15833,-82.59833,TS984
1403151049,FWS.MRX.20140315.GRAVE.02.20140315.104954.3356454881,13,51,27,20.5555555556,35,2.2352,3.0,18.3333333333,32.0,1.7902666512,19.5665222168,41.5967274806,9.59672748059,2.70321,6.59672748059,18.6471191406,33.8885641928,1.27597,1.11143580716,35.30667,-84.24167,CCKT1
1403151055,FWS.MRX.20140315.JOEBR.01.20140315.105517.4020841616,21,67,18,21.1111111111,37,3.12928,5.0,18.3333333333,32.0,1.7902666512,19.4527526855,41.807894189,9.80789418899,2.6,4.80789418899,18.0354248047,33.7047351823,1.71296,3.29526481769,35.2415,-84.2907,CCKT1
1403011356,FWS.MRX.20140301.PINE_.01.20140301.135652.1529656018,21,-145,27,15.5555555556,39,3.57632,1.03,13.0,37.97,5.65888884,13.5975280762,41.9934873965,4.0234873965,3.50087,2.9934873965,13.4540649414,50.1044774707,3.47281,-11.1044774707,35.29639,-84.36194,KMMI
1402021605,FWS.MRX.20140202.BACKV.01.20140202.160532.1333344004,40,66,6,11.6666666667,61,3.57632,-1.86,8.3,62.86,2.5722222,11.3174987793,61.910038341,-0.94996165896,4.54113,0.91003834104,8.39104614258,79.8509291385,1.75035,-18.8509291385,36.82472,-82.55778,KTRI
1402011629,FWS.MRX.20140201.DEEPG.01.20140201.162939.844093698,14,-237,13,13.3333333333,25,5.36448,8.0,15.0,17.0,3.1278221952,12.7671447754,40.0686782022,23.0686782022,6.5951,15.0686782022,15.1462341309,28.7622198404,3.32972,-3.76221984042,35.10806,-84.45167,TS810
1311111424,FWS.MRX.20131111.BIGNA.01.20131111.142418.3496562843,21,24,21,15.5555555556,25,3.57632,8.0,16.6666666667,17.0,2.2326888696,14.1664978027,26.022952355,9.02295235501,3.1,1.02295235501,16.2169433594,22.0475300789,3.95971,2.9524699211,36.21622,-82.12836,TS834
1303180905,FWS.MRX.20130318.WEARS.01.20130318.090525.1363597524740,24,152,10,18.3333333333,60,8.04672,-0.0,15.5555555556,60.0,4.9180888464,18.3905578613,60.3637333682,0.36373336823,6.08834,0.36373336823,15.2228027344,61.2767155919,6.551,-1.27671559186,35.74,-83.59,IGGT1
1303171235,FWS.MRX.20130317.RAGMO.01.20130317.123547.1363523746987,24,121,42,18.8888888889,44,4.02336,9.0,19.4444444444,35.0,4.0229555208,16.2604003906,52.0695077276,17.0695077276,4.69795,8.06950772764,18.9578796387,44.7474089763,1.98142,-0.747408976314,35.80722,-83.06139,CHKN7
1211201530,FWS.MRX.20121120.HAWKI.01.20121120.153021.1353425420863,29,-240,5,15.0,31,2.2352,-0.58,17.0,31.58,2.5722222,14.383782959,39.1871770766,7.60717707663,2.6,8.18717707663,16.3846374512,37.1766617264,1.58002,-6.17666172641,36.39,-83.16,K0VG
1207041537,FWS.MRX.20120704.SHACK.01.20120704.153707.575767813,31,-89,14,33.8888888889,41,2.2352,-9.0,31.6666666667,50.0,2.2326888696,30.930291748,47.6685729771,-2.33142702285,3.34657,6.66857297715,30.7692810059,45.7790895237,3.95522,-4.77908952368,36.4275,-82.15528,TS834
1207041552,FWS.MRX.20120704.SHACK.01.20120704.155215.630160106,31,-89,1,33.8888888889,41,3.57632,-9.0,31.6666666667,50.0,2.2326888696,30.930291748,47.6685729771,-2.33142702285,3.34657,6.66857297715,30.7692810059,45.7790895237,3.95522,-4.77908952368,36.4275,-82.15528,TS834
1204201359,FWS.MRX.20120420.KNOXV.01.20120420.135907.373961542,16,-5,21,25.5555555556,43,3.12928,-1.05,24.0,44.05,8.23111104,24.9500061035,42.0334728178,-2.0165271822,4.1,-0.966527182197,22.8024841309,58.3000948561,5.09404,-15.3000948561,35.9617,-83.9489,KTYS
1204191413,FWS.MRX.20120419.KNOXV.01.20120419.141321.890292144,16,-5,26,23.8888888889,41,3.12928,-6.36,22.8,47.36,4.62999996,23.35,41.2765621906,-6.08343780936,3.1,0.276562190644,23.7499023438,47.3795833483,3.74348,-6.3795833483,35.9617,-83.9489,KTYS
1203281740,FWS.MRX.20120328.OLDSC.01.20120328.174046.121047510,41,53,46,27.7777777778,29,6.7056,2.72,27.0,26.28,10.2888888,24.9500061035,39.7052093444,13.4252093444,7.72628,10.7052093444,24.2583251953,44.9953020364,3.31117,-15.9953020364,36.62783,-82.99,KI35
1203231611,FWS.MRX.20120323.JAYBI.02.20120323.161126.831799584,9,-82,17,22.7777777778,55,3.57632,7.0,22.7777777778,48.0,2.6802555324,22.4812255859,56.0834063727,8.08340637271,5.16875,1.08340637271,19.4158569336,71.5779825854,4.93208,-16.5779825854,36.90139,-82.49583,WSEV2
1203231112,FWS.MRX.20120323.JAYBI.01.20120323.111243.680034000,9,-82,8,22.7777777778,57,4.02336,9.0,22.7777777778,48.0,2.6802555324,22.4812255859,56.0834063727,8.08340637271,5.16875,-0.916593627288,19.4158569336,71.5779825854,4.93208,-14.5779825854,36.90139,-82.49583,WSEV2
